lat,lon,time_min,time_max,surface_time,depth_min,depth_max,num_points,steric,Mooring_ID
36.57610202975327,-123.19732013535138,9789564.0,9793938.0,9793686,-499.78262,-2.9382067,1204,-12.010050427742309,ru38
36.571378321385765,-123.21660984228068,9794573.0,9799237.0,9794807,-499.99078,-0.01985289,1175,-12.549526993763216,ru38
36.56616631063032,-123.23466242985123,9799237.0,9803641.0,nan,nan,nan,0,nan,ru38
36.5608553630724,-123.25305554620091,9803641.0,9808477.0,nan,nan,nan,0,nan,ru38
36.55553282875543,-123.27148879034416,9808477.0,9812905.0,9812643,-499.93204,-2.9382122,1220,-11.792118080994195,ru38
36.54960639148476,-123.28924280542125,9813547.112,9818379.112,9813796,-499.73428,-0.039705858,1275,-11.862107112176846,ru38
36.54598177025202,-123.30810467417726,9818379.112,9822721.112,nan,nan,nan,0,nan,ru38
36.54226349596254,-123.32745338635156,9822721.112,9827789.112,nan,nan,nan,0,nan,ru38
36.53853259164875,-123.34686782113963,9827789.112,9832163.112,9831904,-499.79416,-2.6404262,1210,-12.981547766840398,ru38
36.53166989450552,-123.36546294077378,9832856.0,9837744.0,9833133,-499.67566,-0.039705914,1256,-11.258362430873097,ru38
36.523428662194526,-123.38278339097981,9837744.0,9842088.0,nan,nan,nan,0,nan,ru38
36.49556284684777,-123.43346696408037,9852062.0,9857058.0,9852330,-499.8852,-0.019853018,1306,-12.2845563680391,ru38
36.48499122523221,-123.4508987693011,9857058.0,9861812.0,nan,nan,nan,0,nan,ru38
36.45391997237768,-123.50359957534405,9872312.0,9877296.0,9872573,-499.60977,-0.02977964,1306,-8.922036644111783,ru38
36.44554480317696,-123.5209577074309,9877296.0,9881992.0,nan,nan,nan,0,nan,ru38
36.416702597948145,-123.57206611619024,9892441.0,9897493.0,9892714,-499.92828,-0.029779729,1305,-9.603532340228876,ru38
36.403198068338085,-123.58795462403185,9897493.0,9902151.0,nan,nan,nan,0,nan,ru38
36.365256421030764,-123.6364835737365,9912361.0,9917019.0,9912595,-499.71268,-0.01985325,1161,-8.544629311409873,ru38
36.35804005663027,-123.65501663353268,9917019.0,9921659.0,nan,nan,nan,0,nan,ru38
36.33359880298502,-123.71010350646523,9931709.0,9936187.0,9931924,-499.63486,-0.019853301,1115,-10.005190580134226,ru38
36.322668562607156,-123.72618379278644,9936187.0,9940741.0,nan,nan,nan,0,nan,ru38
36.287642304790204,-123.7777493245949,9950969.028999936,9955321.028999936,9951181,-499.91415,-0.019853383,1086,-9.450341147600085,ru38
36.27912315853961,-123.79539245658312,9955321.028999936,9959913.028999936,nan,nan,nan,0,nan,ru38
36.25171232621402,-123.84855167481082,9969673.096999936,9973835.096999936,9969875,-499.91574,-0.029780168,1038,-8.062926313425267,ru38
36.241642759113866,-123.86359787542631,9973835.096999936,9978449.096999936,9978166,-499.7478,-1.9654852,1278,-7.421718629258867,ru38
36.23000361591542,-123.87824425498317,9979150.508999936,9983298.508999936,9979351,-499.82758,-0.019853482,1025,-7.048922119438604,ru38
36.21903141697822,-123.8941344511421,9983298.508999936,9987974.508999936,9987678,-499.61017,-1.1912079,1301,-8.641843250713146,ru38
